"*-a₁","acd-s_a1.htm#383","imperative suffix"
"*s<um>uksuk","acd-s_s1.htm#8298","to enter, penetrate, pierce"
"*s<um>ulud","acd-s_s1.htm#9641","to push"
"*s<um>uNaR","acd-s_s1.htm#7291","to shine, radiate light"
"*s<um>upay","acd-f_s1.htm#7260","to whet, grate, sharpen"
"*s<um>usu","acd-s_s1.htm#7631","to suckle, suck at the breast"
"*suNaR","acd-s_s1.htm#7289","light, radiance"
"*suŋa","acd-s_s1.htm#9725","do wrong, do in reverse"
"*supay","acd-f_s1.htm#7259","whetting, sharpening"
"*supsup","acd-s_s1.htm#5426","sip, suck"
"*suqaR","acd-s_s1.htm#5428","thorn"
"*suquN","acd-s_s1.htm#5433","carry on the head"
"*suRuq₂","acd-s_s1.htm#9304","to call on a person to do something"
"*susu₁","acd-s_s1.htm#7625","female breast; udder"
"*susuN","acd-s_s1.htm#7559","to stack up"
"*Sa₁","acd-s_s2.htm#5105","ligature"
"*Sa-₁","acd-s_s2.htm#11383","stative prefix"
"*Sa₂","acd-s_s2.htm#5107","locative particle"
"*Sa-₂","acd-s_s2.htm#12676","marker of instrumental nouns"
"*SabaN","acd-s_s2.htm#4951","cloth used to carry a child on the back"
"*SabaRat","acd-s_s2.htm#4953","south wind (?)"
"*Sabij","acd-s_s2.htm#4958","twins of the same sex"
"*Sabit","acd-s_s2.htm#4960","long cloth wrapped around body and used for carrying"
"*SadiRi","acd-s_s2.htm#4964","housepost"
"*Sadu","acd-s_s2.htm#4968","many, much, plenty"
"*Sajek","acd-s_s2.htm#4976","smell; to smell (transitive)"
"*Sajek-en","acd-s_s2.htm#4981","to smell"
"*SakuC","acd-s_s2.htm#4988","transport piecemeal; tranport through repeated trips"
"*Salas","acd-s_s2.htm#4993","forest, wilderness, woods"
"*Samaq","acd-f_s2.htm#6630","a plant:  Linn., and  Linn."
"*SameCi","acd-s_s2.htm#6818","a plant:"
"*Samud","acd-f_s2.htm#7191","a plant, sesame:"
"*Sanaq","acd-f_s2.htm#6599","river otter"
"*SapaR","acd-s_s2.htm#5016","unroll a mat, spread out a mat"
"*Sapejiq","acd-s_s2.htm#5021","smarting, stinging pain"
"*Sapiq","acd-s_s2.htm#7407","flattened"
"*Sapit","acd-s_s2.htm#5023","press together, press between two surfaces"
"*SapSap","acd-s_s2.htm#5031","feel, grope"
"*SapuSap","acd-s_s2.htm#5034","feel, grope"
"*Sapuy","acd-s_s2.htm#5036","fire"
"*SaRuŋ","acd-s_s2.htm#5061","snore, groan, etc."
"*Sasak","acd-s_s2.htm#5064","ripe; cooked"
"*Sasaq","acd-s_s2.htm#5067","whet, sharpen"
"*Sasaq-an","acd-s_s2.htm#5073","whetstone, grindstone"
"*Sa-Sepat","acd-s_s2.htm#5179","four (of humans)"
"*SateD","acd-s_s2.htm#5077","accompany, escort; send, return"
"*SateD-an","acd-s_s2.htm#5086","escort, accompany (imperative)"
"*Sauni","acd-s_s2.htm#5089","in a little while, momentarily, later"
"*Saw","acd-s_s2.htm#5100","question particle"
"*Sawak","acd-s_s2.htm#5091","waist, back of the waist"
"*Sawiki","acd-f_s2.htm#6693","betel nut: nut of"
"*SawSaw","acd-s_s2.htm#5098","wash, rinse"
"*SayaN","acd-s_s2.htm#6534","termite"
"*SebaN","acd-s_s2.htm#5124","carry a child with a carrying cloth"
"*SebuC","acd-s_s2.htm#5128","pluck, pull up (as weeds)"
"*Sekak","acd-s_s2.htm#5137","to crow, to caw"
"*Seked","acd-f_s2.htm#7232","stop an activity, take a break, rest"
"*SekuC","acd-s_s2.htm#11703","hunched over, stoop-shouldered"
"*Selem","acd-s_s2.htm#12678","dark, dim"
"*Sema","acd-s_s2.htm#5155","tongue"
"*Semay","acd-s_s2.htm#5152","cooked rice"
"*Semut","acd-s_s2.htm#5157","smothering, suffocating"
"*Señaw","acd-s_s2.htm#5227","to wash"
"*Seŋad","acd-f_s2.htm#7192","to breathe"
"*Seŋaw","acd-s_s2.htm#7174","to breathe (?)"
"*Sepat","acd-s_s2.htm#5161","four"
"*Sepi","acd-s_s2.htm#5192","dream"
"*SeReC","acd-s_s2.htm#8208","to bind tightly; belt"
"*Sesi","acd-s_s2.htm#5199","flesh, meat"
"*Setek","acd-s_s2.htm#5201","cut, sever, chop"
"*Seyaq","acd-s_s2.htm#5203","shyness, embarrassment; shame"
"*Seyup","acd-s_s2.htm#5209","blowing on (a fire, etc.)"
"*Seyup-an","acd-s_s2.htm#5213","place of blowing"
"*Sezam","acd-s_s2.htm#5219","borrow, lend"
"*Si-₁","acd-s_s2.htm#5333","verbal prefix marking instrumental or benefactive voice"
"*Si-₂","acd-s_s2.htm#5335","originate from, come from"
"*Si-₃","acd-s_s2.htm#10693","to wear, put on clothes, etc."
"*Sidi","acd-f_s2.htm#6600","Formosan serow, mountain goat"
"*Sijap","acd-f_s2.htm#7194","broom"
"*Sika-","acd-s_s2.htm#2836","prefix for ordinal numbers"
"*Sikad","acd-f_s2.htm#7262","ashamed; shy"
"*Sika-duSa","acd-s_d.htm#7899","second"
"*Si-kaen","acd-s_k.htm#8021","instrument used for eating"
"*Sika-lima","acd-s_l.htm#7397","fifth (ordinal numeral)"
"*Sikam","acd-s_s2.htm#5250","mat"
"*Sikan","acd-s_s2.htm#5252","fish"
"*Sika-pitu","acd-s_p.htm#8322","seventh"
"*Sika-puluq","acd-s_p.htm#6907","tenth"
"*Sika-Siwa","acd-s_s2.htm#9168","ninth"
"*Sika-telu","acd-s_t.htm#8434","third"
"*Siket","acd-s_s2.htm#5256","tie, bind, attach to by tying"
"*Si-lahud","acd-s_l.htm#7046","wind from the sea (?)"
"*SimaR","acd-s_s2.htm#5277","grease, oil, fat"
"*Simu","acd-s_s2.htm#5283","2p pronoun: you"
"*Sin-","acd-s_s2.htm#5291","verb prefix"
"*Sina","acd-f_s2.htm#7418","a plant:  spp."
"*S<in>ebaN","acd-s_s2.htm#5126","what is carried on the back"
"*SiNuq","acd-s_s2.htm#5289","beads, necklace"
"*Siñaw","acd-s_s2.htm#5337","to wash"
"*Siñaw-an","acd-s_s2.htm#5339","place where one washes"
"*Siŋus","acd-s_s2.htm#5351","sniff, sniffle (as with a runny nose)"
"*SipaR","acd-s_s2.htm#5294","opposite side (esp. of a river)"
"*Sipes","acd-s_s2.htm#5297","cockroach"
"*Sipi","acd-s_s2.htm#5300","dream"
"*SipuR","acd-f_s2.htm#6696","to count"
"*SiRup","acd-s_s2.htm#5318","sip, as soup or rice wine from a bowl"
"*SiSiN","acd-f_s2.htm#7127","omen bird:  spp."
"*Siwa","acd-s_s2.htm#9164","nine"
"*Siwid","acd-s_s2.htm#5331","slanting, awry"
"*Su-","acd-s_s2.htm#10522","take off, remove (+ noun)"
"*Suab","acd-s_s2.htm#5359","yawn"
"*Suaji","acd-s_s2.htm#5368","younger sibling"
"*Suaji-an","acd-s_s2.htm#5376","called or regarded as siblings (?)"
"*Suaw","acd-f_s2.htm#6694","yawn"
"*SulaR","acd-s_s2.htm#5386","snake"
"*Sulem","acd-s_s2.htm#5390","dimness, twilight"
"*Sulij","acd-s_s2.htm#5395","lie or sleep next to"
"*SulSul","acd-f_s2.htm#7264","to masturbate"
"*SuluR","acd-s_s2.htm#5398","lower or let down, as on a rope"
"*S<um>apaR","acd-s_s2.htm#5018","unroll, spread out a mat"
"*S<um>apuy","acd-s_s2.htm#5048","(gloss uncertain)"
"*S<um>ateD","acd-s_s2.htm#5084","accompany, escort"
"*S<um>eŋad","acd-f_s2.htm#7193","to breathe"
"*S<um>eReC","acd-s_s2.htm#8213","tighten, fasten firmly"
"*S<um>eyup","acd-s_s2.htm#5217","to blow"
"*S<um>uni","acd-s_s2.htm#5418","to chirp, to crow, to sound off (birds)"
"*Suni","acd-s_s2.htm#5415","chirping of birds; noise, sound"
"*SuNus","acd-s_s2.htm#5420","withdraw, pull out, extract"
"*Supiq","acd-s_s2.htm#5411","plant shoot"
"*SuqSuq","acd-s_s2.htm#5429","drip or drain out"
"*SuRas","acd-s_s2.htm#5434","wash body parts, cooking or eating utensils (but not clothes)"
"*SuRay","acd-s_s2.htm#12286","to pass, of time; to pass time idly"
"*SuReNa","acd-f_s2.htm#6601","snow"
"*SuRSuR","acd-s_s2.htm#5443","drawstring; to thread a drawstring"
"*SuRut","acd-s_s2.htm#5446","pull, draw"
"*SuRut-en","acd-s_s2.htm#5447","be pulled or drawn"
"*SuSuq","acd-s_s2.htm#5448","drip or drain out"
"*Suyeʔab","acd-s_s2.htm#5452","to yawn"
"*Suʔu","acd-s_s2.htm#5463","2sg. agent/possessor"
"*-ta","acd-s_t.htm#10272","1pl. incl. genitive suffix"
"*ta-₁","acd-s_t.htm#10270","1pl. incl. nominative and hortative pronoun"
"*ta-amax","acd-s_a1.htm#138","father (ref.)"
"*tabaN","acd-s_t.htm#7176","head trophy, trophy taken in headhunting (?)"
"*tabi","acd-f_t.htm#10356","plough"
"*tabtab₂","acd-s_t.htm#10336","slurp up food or water; eat like a pig or dog; gulp down"
"*tabukul","acd-s_t.htm#10313","casting net for fishing"
"*tadaw","acd-f_t.htm#7195","kind of large knife"
"*tageRaŋ","acd-s_t.htm#6535","ribcage"
"*ta-ina","acd-s_i1.htm#2901","mother (ref.)"
"*taina","acd-s_t.htm#10814","female, of animals"
"*takep","acd-s_t.htm#12768","to lay something on top of another"
"*takes₁","acd-s_t.htm#10390","to wrap around; embrace, hug"
"*takis","acd-f_t.htm#7325","sword"
"*taktak₁","acd-s_t.htm#10430","to fall, of many things at once; to dislodge the contents of a container by knocking it against something"
"*taktak₂","acd-s_t.htm#10524","clatter, clack"
"*taku₂","acd-s_t.htm#10640","dipper, scoop; to scoop, ladle up"
"*takut","acd-s_t.htm#7425","fear"
"*talaw","acd-s_t.htm#5481","timid, fearful; coward"
"*taliuk","acd-s_t.htm#5483","turn, go around"
"*tama₁","acd-s_t.htm#5491","appropriate, suitable, right; fit together; hit the mark"
"*tamtam","acd-s_t.htm#5505","smack the lips"
"*tamuhuŋ","acd-s_t.htm#12788","a hat, head covering"
"*tanaq","acd-f_t.htm#6697","a plant:  (Hance)"
"*tanayan","acd-f_t.htm#7196","bamboo sp."
"*tanem-an","acd-s_c2.htm#7450","area that is planted(?)"
"*taNah","acd-f_t.htm#9434","red"
"*taNaS","acd-s_t.htm#8159","village; place of residence"
"*taNek","acd-s_t.htm#7331","to cook anything but rice"
"*taNek-en","acd-s_t.htm#7339","to be cooked"
"*taNiud","acd-s_t.htm#7254","mulberry tree and fruit:  (Hotta)"
"*tañam","acd-s_t.htm#5522","try, taste"
"*taŋa₂","acd-s_t.htm#6710","to open"
"*tapeS","acd-s_t.htm#1992","winnow"
"*tapeS-i","acd-s_t.htm#1995","to winnow"
"*tapis₁","acd-s_t.htm#5509","loincloth (?)"
"*tapun","acd-s_t.htm#5532","gather, assemble"
"*tapus","acd-s_t.htm#5511","end, complete, finish"
"*taqan₁","acd-s_t.htm#5513","snare trap; set a snare trap"
"*taR-","acd-s_t.htm#10286","prefix marking spontaneous or involuntary action"
"*taRah","acd-s_t.htm#6679","to wait"
"*taRaq₁","acd-s_t.htm#8137","hewing with an adze"
"*taRaq-i","acd-s_t.htm#8142","Adze it!, Hew it!"
"*ta(R)kes","acd-s_t.htm#5535","wrap around, encircle"
"*taRuqan","acd-f_t.htm#6698","field hut; temporary shelter used when working for extended periods in fields far from the village"
"*tastas","acd-s_t.htm#10504","sever, cut through, rip out stitches"
"*tata₁","acd-s_t.htm#10523","collateral consanguine of the first ascending generation"
"*tatak","acd-f_t.htm#6699","hoe"
"*ta-telu","acd-s_t.htm#8437","three (of humans)"
"*ta-tenun-an","acd-s_t.htm#8735","loom"
"*tebaS","acd-s_t.htm#5542","to cut, clear vegetation"
"*tebek","acd-s_t.htm#5543","pierce, stab"
"*tebteb","acd-s_t.htm#5548","to cut"
"*tebuS","acd-s_t.htm#7952","sugarcane:"
"*teda","acd-s_t.htm#5552","leftover, remainder"
"*teguŋ","acd-s_t.htm#5559","to boom, resound"
"*tekep","acd-s_t.htm#10472","a cover; to cover with a flat surface"
"*tekiq","acd-s_t.htm#5565","high-pitched sound; chirp of a gecko"
"*tektek₁","acd-s_t.htm#8913","chopping to pieces, cutting  up, as meat or vegetables"
"*tektek₂","acd-s_t.htm#5566","gecko, house lizard (onom.)"
"*tektek-en","acd-s_t.htm#8918","be chopped into pieces, be minced, as meat or vegetables; what is chopped up or minced"
"*tekuŋ₂","acd-s_t.htm#10759","to rap, knock, make a booming sound"
"*telu","acd-s_t.htm#8414","three"
"*teneb","acd-s_t.htm#12109","to immerse, put under water"
"*tenem","acd-f_t.htm#6700","sea, ocean"
"*tenun","acd-s_t.htm#8734","to weave (cloth)"
"*tenun-an","acd-s_t.htm#8738","loom"
"*tenun-en","acd-s_t.htm#8742","to be woven by someone"
"*teñeb","acd-f_t.htm#5589","submerge"
"*teŋiC","acd-s_t.htm#5591","grimace at pain"
"*teŋteŋ₁","acd-s_t.htm#5597","drone, droning tone"
"*tepeŋ₃","acd-s_t.htm#12110","to measure quantities, as amounts of grain"
"*tepik","acd-s_t.htm#12779","pat, light slap"
"*tepuk","acd-s_t.htm#5593","hit, sound of hitting, clapping, thumping"
"*terter","acd-s_t.htm#5586","shiver, tremble"
"*teRebeS","acd-s_t.htm#12811","a tree:"
"*teRteR","acd-s_t.htm#12746","to tremble, shiver"
"*ti","acd-s_t.htm#12310","1p deixis and spatial reference: this; here"
"*tiaN","acd-s_t.htm#7812","abdomen, belly"
"*tibuk","acd-s_t.htm#5600","pound, throb"
"*tik₁","acd-s_t.htm#2090","sound of tapping or flicking (of finger, small implement, etc.) against something"
"*tikel","acd-s_t.htm#5606","bend"
"*tiktik₁","acd-s_t.htm#2085","to tap, strike lightly on a hard surface"
"*tiktik₅","acd-s_t.htm#12351","to tattoo"
"*tikuRas","acd-s_t.htm#6707","a bird: the Formosan bamboo partridge"
"*timaNa","acd-f_t.htm#10760","to hear, listen"
"*timij","acd-s_t.htm#5619","chin, jaw"
"*timu","acd-f_t.htm#7346","salt"
"*timuR","acd-s_t.htm#7343","south or east wind"
"*timuRmuR","acd-f_t.htm#7347","rinse the mouth"
"*timus","acd-s_t.htm#7345","salt"
"*t<in>aNek","acd-s_t.htm#7335","boiled foods other than rice?"
"*t<in>ektek","acd-s_t.htm#8916","was chopped up"
"*t<in>enun","acd-s_t.htm#8736","was woven by someone; what was woven"
"*t<in>enun-an","acd-s_t.htm#8739","woven cloth"
"*t<in>uduq","acd-s_t.htm#7363","dripped; what dripped"
"*tinun","acd-s_t.htm#8741","to weave cloth"
"*ti-pitu","acd-s_p.htm#8324","(gloss uncertain)"
"*tirtir₁","acd-s_t.htm#5627","shiver, tremble"
"*tiR(e)peS","acd-s_t.htm#10568","spittle"
"*titik","acd-s_t.htm#5687","to beat on something loudly"
"*titu","acd-s_t.htm#7321","puppy; young animal in general?"
"*tubah","acd-s_t.htm#8455","a plant with roots that are pounded  and put in rivers to stun fish:"
"*tudiŋ","acd-s_t.htm#10553","to point out"
"*tuduq","acd-s_t.htm#7361","to leak, drip, as a leaky roof; a drop of water"
"*tuduq-an","acd-s_t.htm#7366","to drip"
"*tuduq-en","acd-s_t.htm#7365","to drip"
"*tuduR","acd-s_t.htm#8357","to sleep"
"*tuduS","acd-s_t.htm#7350","knee"
"*tuiq","acd-s_t.htm#5660","bird sp."
"*tukad₂","acd-s_t.htm#10733","sloping upward; to climb a mountain"
"*tuked","acd-s_t.htm#8931","prop, support"
"*tuktuk₁","acd-s_t.htm#5665","beak of a bird; to peck"
"*tuktuk₂","acd-s_t.htm#5666","top, summit, crown"
"*tuktuk₃","acd-s_t.htm#10573","to knock, pound, beat; crush"
"*tuku₁","acd-s_t.htm#5667","prop, post"
"*tukud","acd-s_t.htm#7957","prop, support"
"*tukul","acd-s_t.htm#10497","to sprout, begin to grow"
"*tulani","acd-s_t.htm#8386","bamboo nose flute"
"*t<um>anem","acd-s_c2.htm#7449","to plant"
"*tumaNa","acd-f_t.htm#7923","to hear, listen"
"*t<um>aNek","acd-s_t.htm#7337","to cook anything but rice"
"*t<um>aRah","acd-s_t.htm#6681","to wait"
"*t<um>aRaq","acd-s_t.htm#8140","to adze wood, hew wood with an adze"
"*t<um>azem","acd-s_c2.htm#7165","sharpen"
"*t<um>ebek","acd-s_t.htm#5546","to pierce, to stab"
"*t<um>enun","acd-s_t.htm#8737","to weave"
"*t<um>əktək","acd-s_t.htm#8917","to chop, hack, cut off"
"*t<um>iktik","acd-s_t.htm#12352","to tattoo someone"
"*t<um>imaNa","acd-f_t.htm#10761","to hear, listen"
"*t<um>uba","acd-s_t.htm#8460","to stun fish with plant poison"
"*t<um>ukad","acd-s_t.htm#12725","to climb, as a mountain or steps"
"*t<um>umaNa","acd-f_t.htm#7925","to hear, listen"
"*t<um>uzuq","acd-s_t.htm#8831","to point at, point out, lecture or instruct, give advice"
"*tunuh-an","acd-s_c2.htm#2130","to roast"
"*tuNa","acd-s_t.htm#8373","freshwater eel"
"*tuqaS","acd-s_t.htm#8505","old, of people; primary forest, old forest"
"*tuqaS tuqaS","acd-s_t.htm#8512","older people, elders"
"*tuqed","acd-s_t.htm#5682","tree stump; stubble"
"*tuqtuq","acd-s_t.htm#5683","to hammer, pound, crush"
"*tuquN","acd-f_t.htm#7233","an evergreen tree, probably"
"*turis","acd-s_t.htm#10674","scratch a line, make a long shallow cut"
"*tuRtuR","acd-s_t.htm#5689","resonant sound"
"*tuRukuk","acd-f_t.htm#6690","chicken"
"*tusuk","acd-s_t.htm#8896","pierce, skewer or string together"
"*tutuh","acd-s_t.htm#9026","beat, pound, bump, thump"
"*tutur₂","acd-s_t.htm#10820","cooing of a dove"
"*tutut","acd-s_t.htm#10821","sparrow or similar bird"
"*tuzuq₁","acd-s_t.htm#8820","to point at, point out; give directions"
"*tuzuq-en","acd-s_t.htm#8833","be pointed at, be pointed out"
"*ua₁","acd-s_u1.htm#5709","exclamation of surprise, etc."
"*ubuC","acd-s_u1.htm#5716","pluck, pull out"
"*udu","acd-s_u1.htm#5739","grass"
"*ujuŋ","acd-s_u1.htm#5749","nose"
"*uka₁","acd-f_u1.htm#7128","negative existential: there is none"
"*ulaŋ","acd-s_u1.htm#5767","repeat, do again"
"*ulaw","acd-s_u1.htm#5764","confusion, perplexity"
"*<um>","acd-s_u1.htm#5805","verbal infix marking actor voice"
"*um-adaS","acd-f_a1.htm#6633","bring"
"*um-ai","acd-s_a1.htm#7829","to come"
"*um-ala","acd-s_a1.htm#7787","to fetch, get, take"
"*um-alaq","acd-s_a1.htm#113","fetch, get, take"
"*umaN","acd-s_u1.htm#5791","again"
"*um-aŋay","acd-s_a1.htm#9147","to leave, depart (?)"
"*um-aRi","acd-s_a1.htm#299","to come"
"*umaS","acd-f_u1.htm#7299","to pickle, preserve meat or fish"
"*um-imah","acd-s_i1.htm#12645","to drink"
"*umuR","acd-s_u1.htm#5804","hold in the mouth"
"*um-uSa","acd-f_u1.htm#6657","to go, to walk"
"*um-utaq","acd-s_u1.htm#5870","to vomit"
"*uNay","acd-s_u1.htm#5811","sliver, splinter, foreign body embedded in the flesh"
"*uNuq","acd-s_u1.htm#5818","beads, necklace"
"*uŋay","acd-f_u1.htm#7348","ritually sacrificed monkey?"
"*upup","acd-s_u1.htm#12814","bullfrog"
"*uReŋ","acd-s_u1.htm#10877","horn of an animal"
"*uSa","acd-f_u1.htm#6655","go"
"*u-Siwa","acd-s_s2.htm#9170","nine (of things?)"
"*utan","acd-s_u1.htm#12266","taro variety"
"*utaq","acd-s_u1.htm#5865","vomit"
"*utaq-an","acd-s_u1.htm#5872","vomit (imperative)"
"*utaq-en","acd-s_u1.htm#5873","be vomited up; vomit (command)"
"*waCaN","acd-f_w.htm#7197","deep pool or pond"
"*waCa-waCaN","acd-f_w.htm#7198","small pond(?)"
"*-wadaŋ","acd-s_w.htm#5915","collarbone, clavicle"
"*wakwak","acd-s_w.htm#5941","bird sp.; to caw, crow"
"*walay","acd-f_w.htm#6783","thread"
"*walu","acd-s_w.htm#5943","eight"
"*wanaN","acd-s_w.htm#9473","right (side, hand, direction)"
"*waNan","acd-s_w.htm#5956","right (side, hand, direction)"
"*waNiS","acd-f_w.htm#6602","tusk of wild boar"
"*waNiS-an","acd-f_w.htm#6603","wild boar"
"*waNu","acd-f_w.htm#6604","honeybee"
"*waqay","acd-s_w.htm#5962","foot, leg"
"*waqit","acd-f_w.htm#7419","barb, point; canine tooth?"
"*waray","acd-s_w.htm#5963","to separate, as two people"
"*waRi₁","acd-s_w.htm#5968","day; sun; dry in the sun"
"*-waRwaR","acd-s_w.htm#12048","rainbow"
"*waSaw","acd-f_w.htm#8067","leaf"
"*watawat","acd-s_w.htm#5977","wave, flutter (as a flag)"
"*wa-walu","acd-s_w.htm#5954","eight (of humans)"
"*wili","acd-s_w.htm#5996","return, come back"
"*wiŋawiŋ","acd-s_w.htm#6007","wag, shake, move repeatedly from side to side"
"*wiRi","acd-s_w.htm#5998","left side or direction"
"*witiwit","acd-s_w.htm#6003","wag, swing from side to side"
"*ya","acd-s_y.htm#12747","nominative case marker for singular common nouns"
"*za(ŋ)kuC","acd-s_z.htm#6026","grab, grasp, seize"
"*zalan","acd-s_z.htm#7589","path, made by a human as opposed to an animal; way or means to do something"
"*zalan-an","acd-s_z.htm#7597","passageway, place where one has walked"
"*zalan-zalan","acd-s_z.htm#7598","small path or trail"
"*zaRami","acd-s_z.htm#8375","rice straw"
"*zaRem","acd-s_z.htm#12290","needle"
"*zaRum","acd-s_z.htm#7605","needle"
"*zawa₂","acd-s_z.htm#8750","millet sp.:  (?)"
"*za-zalan","acd-s_z.htm#7595","(gloss uncertain)"
"*zekzek","acd-s_z.htm#12501","to tread, trample on"
"*zulu","acd-s_z.htm#6039","earlier, in advance"
